scientificName_original	scientificNameAuthorship_original	identificationQualifier_original	vernacularName	taxonRemarks	riskLevel	references	taxonRank	AphiaID	scientificName	scientificNameAuthorship	AphiaID_accepted	scientificName_accepted	scientificNameAuthorship_accepted
Aetea anguina	(Linnaeus 1758)					Tropical West Pacific introduced	species	111062	Aetea anguina	(Linnaeus, 1758)	111062	Aetea anguina	(Linnaeus, 1758)
Amathia distans	Busk 1886			According to the Australian risk assessment  not considered high risk	1	Tropical West Pacific introduced	species	111656	Amathia distans	Busk, 1886	111656	Amathia distans	Busk, 1886
Amathia verticellatum	(delle Chiaje 1822)					Tropical West Pacific introduced	species	851581	Amathia verticillata	(delle Chiaje, 1822)	851581	Amathia verticillata	(delle Chiaje, 1822)
Bowerbankia		sp.				Tropical West Pacific introduced							
Bowerbankia		cf. imbricata				Tropical West Pacific introduced							
Bryozoan		sp. 1 (metallic)				Tropical West Pacific introduced							
Bugula neritina	(Linnaeus 1758)			According to the Australian risk assessment  not considered high risk. Native to the Caribbean  believed to have been introduced to many areas  especially in Australia  Southeast Asia and the Red Sea  Indian Ocean and the Mediterranean.	1	Tropical West Pacific introduced	species	111158	Bugula neritina	(Linnaeus, 1758)	111158	Bugula neritina	(Linnaeus, 1758)
Bugula Dentata						Tropical West Pacific introduced	genus	110839	Bugula	Oken, 1815	110839	Bugula	Oken, 1815
Bugulina stolonifera	(Ryland 1960)					Tropical West Pacific introduced	species	834018	Bugulina stolonifera	(Ryland, 1960)	834018	Bugulina stolonifera	(Ryland, 1960)
Caulibugula dendrograpta						Tropical West Pacific introduced	species	394866	Caulibugula dendrograpta	(Waters, 1913)	394866	Caulibugula dendrograpta	(Waters, 1913)
Celleporaria brunnea						Tropical West Pacific introduced	species	394868	Celleporaria brunnea	(Hincks, 1884)	394868	Celleporaria brunnea	(Hincks, 1884)
Celleporaria pilaefera						Tropical West Pacific introduced	species	220614	Celleporaria pilaefera	(Canu & Bassler, 1929)	220614	Celleporaria pilaefera	(Canu & Bassler, 1929)
Conopeum seurati	(Canu 1928)					Tropical West Pacific introduced	species	111352	Conopeum seurati	(Canu, 1928)	111352	Conopeum seurati	(Canu, 1928)
Hippopodina tahitiensis						Tropical West Pacific introduced	species	469857	Hippopodina tahitiensis	(Leca & d'Hondt, 1993)	469857	Hippopodina tahitiensis	(Leca & d'Hondt, 1993)
Poricella robusta						Tropical West Pacific introduced	species	471973	Poricella robusta	(Hincks, 1884)	471973	Poricella robusta	(Hincks, 1884)
Savignyella lafontii	(Audouin 1826)					Tropical West Pacific introduced	species	111512	Savignyella lafontii	(Audouin, 1826)	111512	Savignyella lafontii	(Audouin, 1826)
Schizoporella errata	(Waters 1878)					Tropical West Pacific introduced	species	111527	Schizoporella errata	(Waters, 1878)	111527	Schizoporella errata	(Waters, 1878)
Schizoporella pseudoerrata						Tropical West Pacific introduced	species	470361	Schizoporella pseudoerrata	Soule, Soule & Chaney, 1995	470361	Schizoporella pseudoerrata	Soule, Soule & Chaney, 1995
Schizoporella pungens						Tropical West Pacific introduced	species	422363	Schizoporella pungens	Canu & Bassler, 1928	422363	Schizoporella pungens	Canu & Bassler, 1928
Schizoporella serialis	(Heller 1867)					Tropical West Pacific introduced	species	717194	Schizoporella serialis	(Heller, 1867)	717194	Schizoporella serialis	(Heller, 1867)
Tricellaria inopinata	dHondt and Occhipinti Ambrogi 1985					Tropical West Pacific introduced	species	111254	Tricellaria inopinata	d'Hondt & Occhipinti Ambrogi, 1985	111254	Tricellaria inopinata	d'Hondt & Occhipinti Ambrogi, 1985
Tricellaria occidentalis	(Trask 1857)					Tropical West Pacific introduced	species	395061	Tricellaria occidentalis	(Trask, 1857)	395061	Tricellaria occidentalis	(Trask, 1857)
Watersipora subtorquata	(dOrbigny 1852)					Tropical West Pacific introduced	species	111592	Watersipora subtorquata	(d'Orbigny, 1852)	111592	Watersipora subtorquata	(d'Orbigny, 1852)
Virididentula dentata	(Lamouroux  1816)					Tropical West Pacific introduced	species	833987	Virididentula dentata	(Lamouroux, 1816)	833987	Virididentula dentata	(Lamouroux, 1816)
Ophiactis savignyi	(Müller and Troschel 1842)					Tropical West Pacific introduced	species	125122	Ophiactis savignyi	(Müller & Troschel, 1842)	125122	Ophiactis savignyi	(Müller & Troschel, 1842)
Ascidia archaia	Sluiter 1890					Tropical West Pacific introduced	species	249968	Ascidia archaia	Sluiter, 1890	249968	Ascidia archaia	Sluiter, 1890
Ascidia		sp. B				Tropical West Pacific introduced							
Ascidia sydneiensis	Stimpson 1855					Tropical West Pacific introduced	species	215940	Ascidia sydneiensis	Stimpson, 1855	215940	Ascidia sydneiensis	Stimpson, 1855
Ascidiacea		sp. A				Tropical West Pacific introduced							
Botrylloides leachi	(Savigny 1816)			According to the Australian risk assessment  not considered high risk	1	Tropical West Pacific introduced	species	103859	Botrylloides leachi	(Savigny, 1816)	250081	Botrylloides leachii	(Savigny, 1816)
Botrylloides		cf. simodensis Saito and Watanabe 1981				Tropical West Pacific introduced							
Botrylloides niger	Herdman 1886					Tropical West Pacific introduced	species	252289	Botrylloides niger	Herdman, 1886	252289	Botrylloides niger	Herdman, 1886
Botrylloides tyreus	(Herdman 1886)					Tropical West Pacific introduced	species	252302	Botrylloides tyreum	Herdman, 1886	252302	Botrylloides tyreum	Herdman, 1886
Botryllus		sp.  B				Tropical West Pacific introduced							
Botryllus		sp. A				Tropical West Pacific introduced							
Cnemidocarpa irene	(Hartmeyer 1906)					Tropical West Pacific introduced	species	250346	Cnemidocarpa irene	(Hartmeyer, 1906)	250346	Cnemidocarpa irene	(Hartmeyer, 1906)
Didemnum perlucidum	Monniot F 1983			On Australian pest priority list	5	Tropical West Pacific introduced	species	212506	Didemnum perlucidum	Monniot F., 1983	212506	Didemnum perlucidum	Monniot F., 1983
Didemnum psammatodes	(Sluiter 1895)					Tropical West Pacific introduced	species	252853	Didemnum psammatodes	(Sluiter, 1895)	252853	Didemnum psammatodes	(Sluiter, 1895)
Didemnum		cf. spongioides Sluiter 1909				Tropical West Pacific introduced							
Diplosoma listerianum	(Milne Edwards 1841)					Tropical West Pacific introduced	species	103579	Diplosoma listerianum	(Milne Edwards, 1841)	103579	Diplosoma listerianum	(Milne Edwards, 1841)
Diplosoma		sp. A				Tropical West Pacific introduced							
Ecteinascidia diaphanis	Sluiter 1886					Tropical West Pacific introduced	species	250173	Ecteinascidia diaphanis	Sluiter, 1886	250173	Ecteinascidia diaphanis	Sluiter, 1886
Eusynstyela hartmeyeri	Michaelson 1904					Tropical West Pacific introduced	species	103892	Eusynstyela hartmeyeri	Michaelsen, 1904	103892	Eusynstyela hartmeyeri	Michaelsen, 1904
Herdmania insolita	Monniot F and Monniot C 2001					Tropical West Pacific introduced	species	253082	Herdmania insolita	Monniot F. & Monniot C., 2001	250694	Herdmania mauritiana	(Drasche, 1884)
Herdmania pallida	(Heller 1878)					Tropical West Pacific introduced	species	250697	Herdmania pallida	(Heller, 1878)	250697	Herdmania pallida	(Heller, 1878)
Herdmania mauritiana	(Drasche 1884)					Tropical West Pacific introduced	species	250694	Herdmania mauritiana	(Drasche, 1884)	250694	Herdmania mauritiana	(Drasche, 1884)
Herdmania momus	(Savigny 1816)					Tropical West Pacific introduced	species	103830	Herdmania momus	(Savigny, 1816)	103830	Herdmania momus	(Savigny, 1816)
Lissoclinum fragile	(Van Name 1902)					Tropical West Pacific introduced	species	250786	Lissoclinum fragile	(Van Name, 1902)	250786	Lissoclinum fragile	(Van Name, 1902)
Microcosmus exasperatus	Heller 1878					Tropical West Pacific introduced	species	103838	Microcosmus exasperatus	Heller, 1878	103838	Microcosmus exasperatus	Heller, 1878
Microcosmus helleri	Herdman 1881					Tropical West Pacific introduced	species	250845	Microcosmus helleri	Herdman, 1881	250845	Microcosmus helleri	Herdman, 1881
Microcosmus pupa	(Savigny 1816)					Tropical West Pacific introduced	species	103843	Microcosmus pupa	(Savigny, 1816)	103843	Microcosmus pupa	(Savigny, 1816)
Perophora multiclathrata	(Sluiter 1904)					Tropical West Pacific introduced	species	103760	Perophora multiclathrata	(Sluiter, 1904)	103760	Perophora multiclathrata	(Sluiter, 1904)
Perophora sagamiensis	Tokioka 1953					Tropical West Pacific introduced	species	250618	Perophora sagamiensis	Tokioka, 1953	250618	Perophora sagamiensis	Tokioka, 1953
Phallusia nigra	Savigny 1816					Tropical West Pacific introduced	species	103725	Phallusia nigra	Savigny, 1816	103725	Phallusia nigra	Savigny, 1816
Phallusia philippinensis	Millar 1975					Tropical West Pacific introduced	species	250627	Phallusia philippinensis	Millar, 1975	250627	Phallusia philippinensis	Millar, 1975
Polyandrocarpa sagamiensis	Tokioka 1953					Tropical West Pacific introduced	species	253500	Polyandrocarpa sagamiensis	Tokioka, 1953	253500	Polyandrocarpa sagamiensis	Tokioka, 1953
Polycarpa aurita	(Sluiter 1890)					Tropical West Pacific introduced	species	251002	Polycarpa aurita	(Sluiter, 1890)	251002	Polycarpa aurita	(Sluiter, 1890)
?Polycarpa nigricans	Heller 1878					Tropical West Pacific introduced	species	215953	Polycarpa nigricans	Heller, 1878	215953	Polycarpa nigricans	Heller, 1878
Polyclinum constellatum	Savigny 1816					Tropical West Pacific introduced	species	215891	Polyclinum constellatum	Savigny, 1816	215891	Polyclinum constellatum	Savigny, 1816
Polyclinum nudum	Kott 1992					Tropical West Pacific introduced	species	251108	Polyclinum nudum	Kott, 1992	251108	Polyclinum nudum	Kott, 1992
Pyura		cf. robusta Hartmeyer 1922				Tropical West Pacific introduced							
Pyura confragosa	Kott 1985					Tropical West Pacific introduced	species	251258	Pyura confragosa	Kott, 1985	251258	Pyura confragosa	Kott, 1985
Pyura curvigona	Tokioka 1950					Tropical West Pacific introduced	species	251260	Pyura curvigona	Tokioka, 1950	251260	Pyura curvigona	Tokioka, 1950
Pyura honu	Monniot C and Monniot F 1987					Tropical West Pacific introduced	species	251269	Pyura honu	Monniot C. & Monniot F., 1987	251269	Pyura honu	Monniot C. & Monniot F., 1987
Pyura vittata	(Stimpson 1852)					Tropical West Pacific introduced	species	251314	Pyura vittata	(Stimpson, 1852)	251314	Pyura vittata	(Stimpson, 1852)
Rhodosoma turcicum						Tropical West Pacific introduced	species	103749	Rhodosoma turcicum	(Savigny, 1816)	103749	Rhodosoma turcicum	(Savigny, 1816)
Styela canopus	(Savigny 1816)					Tropical West Pacific introduced	species	103926	Styela canopus	(Savigny, 1816)	103926	Styela canopus	(Savigny, 1816)
Styela plicata	(Lesueur 1823)			According to the Australian risk assessment  not considered high risk	1	Tropical West Pacific introduced	species	103936	Styela plicata	(Lesueur, 1823)	103936	Styela plicata	(Lesueur, 1823)
Symplegma brakenhielmi	(Michaelsen 1904)					Tropical West Pacific introduced	species	251435	Symplegma brakenhielmi	(Michaelsen, 1904)	251435	Symplegma brakenhielmi	(Michaelsen, 1904)
Symplegma oceania						Tropical West Pacific introduced	species	254020	Symplegma oceania	Tokioka, 1961	251435	Symplegma brakenhielmi	(Michaelsen, 1904)
Symplegma		sp. A				Tropical West Pacific introduced							
Gambusia affinis	(Baird and Girard 1853)					Tropical West Pacific introduced	species	159325	Gambusia affinis	(Baird & Girard, 1853)	159325	Gambusia affinis	(Baird & Girard, 1853)
Mugil cephalus	Linnaeus 1758					Tropical West Pacific introduced	species	126983	Mugil cephalus	Linnaeus, 1758	126983	Mugil cephalus	Linnaeus, 1758
Neopomacentrus violascens	(Bleeker 1848)					Tropical West Pacific introduced	species	278916	Neopomacentrus violascens	(Bleeker, 1848)	278916	Neopomacentrus violascens	(Bleeker, 1848)
Omobranchus elongates	(Peters 1855)					Tropical West Pacific introduced	species	713638	Omobranchus elongates	(Peters, 1855)	219317	Omobranchus elongatus	(Peters, 1855)
Oreochromis mossambicus	(Peters 1852)					Tropical West Pacific introduced	species	218777	Oreochromis mossambicus	(Peters, 1852)	218777	Oreochromis mossambicus	(Peters, 1852)
Parioglossus philippinus	(Herre 1945)					Tropical West Pacific introduced	species	278756	Parioglossus philippinus	(Herre, 1945)	278756	Parioglossus philippinus	(Herre, 1945)
Gobiidae		sp.				Tropical West Pacific introduced							
Rhabdamia gracilis						Tropical West Pacific introduced	species	209406	Rhabdamia gracilis	(Bleeker, 1856)	209406	Rhabdamia gracilis	(Bleeker, 1856)
